NOC21_2 digit,NOC21_5 digit
"52 Technical occupations in art, culture and sport",52121 Interior designers and interior decorators
"53 Occupations in art, culture and sport","53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries"
"53 Occupations in art, culture and sport",53110 Photographers
"53 Occupations in art, culture and sport","53111 Motion pictures, broadcasting, photography and performing arts assistants and operators"
"53 Occupations in art, culture and sport",53120 Dancers
"53 Occupations in art, culture and sport","53121 Actors, comedians and circus performers"
"53 Occupations in art, culture and sport","53122 Painters, sculptors and other visual artists"
"53 Occupations in art, culture and sport","53123 Theatre, fashion, exhibit and other creative designers"
"53 Occupations in art, culture and sport",53124 Artisans and craftspersons
"53 Occupations in art, culture and sport","53125 Patternmakers - textile, leather and fur products"
"53 Occupations in art, culture and sport",53200 Athletes
"53 Occupations in art, culture and sport",53201 Coaches
"53 Occupations in art, culture and sport",53202 Sports officials and referees
54 Support occupations in sport,"54100 Program leaders and instructors in recreation, sport and fitness"
55 Support occupations in art and culture,55109 Other performers
60 Middle management occupations in retail and wholesale trade and customer services,60010 Corporate sales managers
60 Middle management occupations in retail and wholesale trade and customer services,60020 Retail and wholesale trade managers
60 Middle management occupations in retail and wholesale trade and customer services,60030 Restaurant and food service managers
60 Middle management occupations in retail and wholesale trade and customer services,60031 Accommodation service managers
60 Middle management occupations in retail and wholesale trade and customer services,60040 Managers in customer and personal services
62 Retail sales and service supervisors and specialized occupations in sales and services,62010 Retail sales supervisors
62 Retail sales and service supervisors and specialized occupations in sales and services,62020 Food service supervisors
62 Retail sales and service supervisors and specialized occupations in sales and services,62021 Executive housekeepers
62 Retail sales and service supervisors and specialized occupations in sales and services,"62022 Accommodation, travel, tourism and related services supervisors"
62 Retail sales and service supervisors and specialized occupations in sales and services,62023 Customer and information services supervisors
62 Retail sales and service supervisors and specialized occupations in sales and services,62024 Cleaning supervisors
62 Retail sales and service supervisors and specialized occupations in sales and services,62029 Other services supervisors
62 Retail sales and service supervisors and specialized occupations in sales and services,62100 Technical sales specialists - wholesale trade
62 Retail sales and service supervisors and specialized occupations in sales and services,62101 Retail and wholesale buyers
62 Retail sales and service supervisors and specialized occupations in sales and services,62200 Chefs
62 Retail sales and service supervisors and specialized occupations in sales and services,62201 Funeral directors and embalmers
62 Retail sales and service supervisors and specialized occupations in sales and services,"62202 Jewellers, jewellery and watch repairers and related occupations"
63 Occupations in sales and services,63100 Insurance agents and brokers
63 Occupations in sales and services,63101 Real estate agents and salespersons
63 Occupations in sales and services,63102 Financial sales representatives
63 Occupations in sales and services,63200 Cooks
63 Occupations in sales and services,63201 Butchers - retail and wholesale
63 Occupations in sales and services,63202 Bakers
63 Occupations in sales and services,63210 Hairstylists and barbers
63 Occupations in sales and services,"63211 Estheticians, electrologists and related occupations"
63 Occupations in sales and services,63220 Shoe repairers and shoemakers
63 Occupations in sales and services,63221 Upholsterers
64 Sales and service representatives and other customer and personal services occupations,64100 Retail salespersons and visual merchandisers
64 Sales and service representatives and other customer and personal services occupations,64101 Sales and account representatives - wholesale trade (non-technical)
64 Sales and service representatives and other customer and personal services occupations,"64200 Tailors, dressmakers, furriers and milliners"
64 Sales and service representatives and other customer and personal services occupations,"64201 Image, social and other personal consultants"
64 Sales and service representatives and other customer and personal services occupations,64300 Maîtres d'hôtel and hosts/hostesses
64 Sales and service representatives and other customer and personal services occupations,64301 Bartenders
64 Sales and service representatives and other customer and personal services occupations,64310 Travel counsellors
64 Sales and service representatives and other customer and personal services occupations,64311 Pursers and flight attendants
64 Sales and service representatives and other customer and personal services occupations,64312 Airline ticket and service agents
64 Sales and service representatives and other customer and personal services occupations,"64313 Ground and water transport ticket agents, cargo service representatives and related clerks"
64 Sales and service representatives and other customer and personal services occupations,64314 Hotel front desk clerks
64 Sales and service representatives and other customer and personal services occupations,64320 Tour and travel guides
64 Sales and service representatives and other customer and personal services occupations,64321 Casino workers
64 Sales and service representatives and other customer and personal services occupations,64322 Outdoor sport and recreational guides
64 Sales and service representatives and other customer and personal services occupations,64400 Customer services representatives - financial institutions
64 Sales and service representatives and other customer and personal services occupations,64401 Postal services representatives
64 Sales and service representatives and other customer and personal services occupations,64409 Other customer and information services representatives
64 Sales and service representatives and other customer and personal services occupations,64410 Security guards and related security service occupations
65 Sales and service support occupations,65100 Cashiers
65 Sales and service support occupations,65101 Service station attendants
65 Sales and service support occupations,"65102 Store shelf stockers, clerks and order fillers"
65 Sales and service support occupations,65109 Other sales related occupations
65 Sales and service support occupations,65200 Food and beverage servers
65 Sales and service support occupations,"65201 Food counter attendants, kitchen helpers and related support occupations"
65 Sales and service support occupations,65202 Meat cutters and fishmongers - retail and wholesale
65 Sales and service support occupations,"65210 Support occupations in accommodation, travel and facilities set-up services"
65 Sales and service support occupations,"65211 Operators and attendants in amusement, recreation and sport"
65 Sales and service support occupations,65220 Pet groomers and animal care workers
65 Sales and service support occupations,65229 Other support occupations in personal services
65 Sales and service support occupations,65310 Light duty cleaners
65 Sales and service support occupations,65311 Specialized cleaners
65 Sales and service support occupations,"65312 Janitors, caretakers and heavy-duty cleaners"
65 Sales and service support occupations,"65320 Dry cleaning, laundry and related occupations"
65 Sales and service support occupations,65329 Other service support occupations
70 Middle management occupations in trades and transportation,70010 Construction managers
70 Middle management occupations in trades and transportation,70011 Home building and renovation managers
70 Middle management occupations in trades and transportation,70012 Facility operation and maintenance managers
70 Middle management occupations in trades and transportation,70020 Managers in transportation
70 Middle management occupations in trades and transportation,70021 Postal and courier services managers
72 Technical trades and transportation officers and controllers,"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations"
72 Technical trades and transportation officers and controllers,"72011 Contractors and supervisors, electrical trades and telecommunications occupations"
72 Technical trades and transportation officers and controllers,"72012 Contractors and supervisors, pipefitting trades"
72 Technical trades and transportation officers and controllers,"72013 Contractors and supervisors, carpentry trades"
72 Technical trades and transportation officers and controllers,"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers"
72 Technical trades and transportation officers and controllers,"72020 Contractors and supervisors, mechanic trades"
72 Technical trades and transportation officers and controllers,"72021 Contractors and supervisors, heavy equipment operator crews"
72 Technical trades and transportation officers and controllers,"72022 Supervisors, printing and related occupations"
72 Technical trades and transportation officers and controllers,"72023 Supervisors, railway transport operations"
72 Technical trades and transportation officers and controllers,"72024 Supervisors, motor transport and other ground transit operators"
72 Technical trades and transportation officers and controllers,"72025 Supervisors, mail and message distribution occupations"
72 Technical trades and transportation officers and controllers,72100 Machinists and machining and tooling inspectors
72 Technical trades and transportation officers and controllers,72101 Tool and die makers
72 Technical trades and transportation officers and controllers,72102 Sheet metal workers
72 Technical trades and transportation officers and controllers,72103 Boilermakers
72 Technical trades and transportation officers and controllers,72104 Structural metal and platework fabricators and fitters
72 Technical trades and transportation officers and controllers,72105 Ironworkers
