"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Newfoundland and Labrador i2",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"22301 Mechanical engineering technologists and technicians","310","79,000","86,000"
"22302 Industrial engineering and manufacturing technologists and technicians","65","84,000","74,000"
"22303 Construction estimators","245","73,500","73,000"
"2231 Technical occupations in electronics and electrical engineering","1,700","72,000","76,300"
"22310 Electrical and electronics engineering technologists and technicians","860","76,500","78,000"
"22311 Electronic service technicians (household and business equipment)","510","52,800","53,200"
"22312 Industrial instrument technicians and mechanics","225","100,000","111,000"
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","105","101,000","100,000"
"3 Health occupations","21,725","55,200","67,400"
"30 Specialized middle management occupations in health care","550","96,000","91,200"
"300 Specialized middle management occupations in health care","550","96,000","91,200"
"3001 Managers in health care","550","96,000","91,200"
"30010 Managers in health care","550","96,000","91,200"
"31 Professional occupations in health","9,655","88,000","97,400"
"311 Health treating and consultation services professionals","2,655","111,000","152,800"
"3110 Physicians and veterinarians","1,485","154,000","189,200"
"31100 Specialists in clinical and laboratory medicine","540","208,000","235,000"
"31101 Specialists in surgery","155","196,000","216,000"
