"","occupation","employment","median.income","mean.income","geography","noc_code","nchar"
"203","41407 Program officers unique to government",13575,74000,76300,"Canada","41407",5
"204","41409 Other professional occupations in social science",6615,55600,57750,"Canada","41409",5
"205","42100 Police officers (except commissioned)",73090,109000,104000,"Canada","42100",5
"206","42101 Firefighters",33575,109000,102700,"Canada","42101",5
"207","42102 Specialized members of the Canadian Armed Forces",1610,72500,70200,"Canada","42102",5
"208","42200 Paralegals and related occupations",31205,53600,55650,"Canada","42200",5
"209","42201 Social and community service workers",176975,43600,43560,"Canada","42201",5
"210","42202 Early childhood educators and assistants",224080,25200,27360,"Canada","42202",5
"211","42203 Instructors of persons with disabilities",33340,43600,43320,"Canada","42203",5
"212","42204 Religion workers",8175,22400,30080,"Canada","42204",5
"213","43100 Elementary and secondary school teacher assistants",104550,30400,29920,"Canada","43100",5
"214","43109 Other instructors",33475,7400,17140,"Canada","43109",5
"215","43200 Sheriffs and bailiffs",5290,68000,65300,"Canada","43200",5
"216","43201 Correctional service officers",24605,82000,78400,"Canada","43201",5
"217","43202 By-law enforcement and other regulatory officers",10520,65500,63450,"Canada","43202",5
"218","43203 Border services, customs, and immigration officers",10285,85000,75100,"Canada","43203",5
"219","43204 Operations members of the Canadian Armed Forces",35160,71500,71000,"Canada","43204",5
"220","44100 Home child care providers",49205,10300,16200,"Canada","44100",5
"221","44101 Home support workers, caregivers and related occupations",49850,23600,27440,"Canada","44101",5
"222","44200 Primary combat members of the Canadian Armed Forces",9170,45600,44960,"Canada","44200",5
"223","45100 Student monitors, crossing guards and related occupations",30255,6320,10580,"Canada","45100",5
"224","50010 Library, archive, museum and art gallery managers",4815,62400,66500,"Canada","50010",5
"225","50011 Managers - publishing, motion pictures, broadcasting and performing arts",7820,60400,74300,"Canada","50011",5
"226","50012 Recreation, sports and fitness program and service directors",12720,50800,64000,"Canada","50012",5
"227","51100 Librarians",8945,68000,65400,"Canada","51100",5
"228","51101 Conservators and curators",2005,54000,53050,"Canada","51101",5
"229","51102 Archivists",1565,54800,53750,"Canada","51102",5
"230","51110 Editors",13855,38800,43000,"Canada","51110",5
"231","51111 Authors and writers (except technical)",21690,20200,35000,"Canada","51111",5
"232","51112 Technical writers",8325,66500,66300,"Canada","51112",5
"233","51113 Journalists",10270,51200,55400,"Canada","51113",5
"234","51114 Translators, terminologists and interpreters",16890,34000,41000,"Canada","51114",5
"235","51120 Producers, directors, choreographers and related occupations",31925,52000,60050,"Canada","51120",5
"236","51121 Conductors, composers and arrangers",3255,15100,27840,"Canada","51121",5
"237","51122 Musicians and singers",29130,8100,17000,"Canada","51122",5
"238","52100 Library and public archive technicians",9990,42000,42080,"Canada","52100",5
"239","52110 Film and video camera operators",5050,26800,36720,"Canada","52110",5
"240","52111 Graphic arts technicians",12135,51600,62050,"Canada","52111",5
"241","52112 Broadcast technicians",1845,70500,67900,"Canada","52112",5
"242","52113 Audio and video recording technicians",25070,39200,43200,"Canada","52113",5
"243","52114 Announcers and other broadcasters",4725,44800,61750,"Canada","52114",5
"244","52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",27220,62400,70400,"Canada","52119",5
"245","52120 Graphic designers and illustrators",76660,40800,46920,"Canada","52120",5
"246","52121 Interior designers and interior decorators",26585,31600,39720,"Canada","52121",5
"247","53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries",6105,13600,22220,"Canada","53100",5
"248","53110 Photographers",15710,10800,21860,"Canada","53110",5
"249","53111 Motion pictures, broadcasting, photography and performing arts assistants and operators",12025,30600,35600,"Canada","53111",5
"250","53120 Dancers",8535,7450,14480,"Canada","53120",5
"251","53121 Actors, comedians and circus performers",13970,7600,21500,"Canada","53121",5
"252","53122 Painters, sculptors and other visual artists",14975,6040,16020,"Canada","53122",5
"253","53123 Theatre, fashion, exhibit and other creative designers",12195,29600,39920,"Canada","53123",5
"254","53124 Artisans and craftspersons",14120,9300,17980,"Canada","53124",5
"255","53125 Patternmakers - textile, leather and fur products",635,34000,35800,"Canada","53125",5
"256","53200 Athletes",2800,17200,98400,"Canada","53200",5
"257","53201 Coaches",13940,21200,35480,"Canada","53201",5
"258","53202 Sports officials and referees",1760,3680,18940,"Canada","53202",5
"259","54100 Program leaders and instructors in recreation, sport and fitness",99150,6650,14720,"Canada","54100",5
"260","55109 Other performers",3540,8900,25500,"Canada","55109",5
"261","60010 Corporate sales managers",76935,97000,113600,"Canada","60010",5
"262","60020 Retail and wholesale trade managers",377880,50400,64700,"Canada","60020",5
"263","60030 Restaurant and food service managers",138395,33200,40280,"Canada","60030",5
"264","60031 Accommodation service managers",25505,40000,49600,"Canada","60031",5
"265","60040 Managers in customer and personal services",24825,31000,40800,"Canada","60040",5
"266","62010 Retail sales supervisors",61520,33600,38760,"Canada","62010",5
"267","62020 Food service supervisors",71205,29200,34800,"Canada","62020",5
"268","62021 Executive housekeepers",1935,39600,42000,"Canada","62021",5
"269","62022 Accommodation, travel, tourism and related services supervisors",5975,25800,31360,"Canada","62022",5
"270","62023 Customer and information services supervisors",10585,54000,57700,"Canada","62023",5
"271","62024 Cleaning supervisors",13140,40800,42720,"Canada","62024",5
"272","62029 Other services supervisors",11150,40000,41640,"Canada","62029",5
"273","62100 Technical sales specialists - wholesale trade",50240,82000,100500,"Canada","62100",5
"274","62101 Retail and wholesale buyers",34495,37600,47440,"Canada","62101",5
"275","62200 Chefs",62880,25000,30280,"Canada","62200",5
"276","62201 Funeral directors and embalmers",5210,54000,60100,"Canada","62201",5
"277","62202 Jewellers, jewellery and watch repairers and related occupations",3365,16600,24560,"Canada","62202",5
"278","63100 Insurance agents and brokers",77515,53200,66900,"Canada","63100",5
"279","63101 Real estate agents and salespersons",97705,38000,61650,"Canada","63101",5
"280","63102 Financial sales representatives",58590,53600,72100,"Canada","63102",5
"281","63200 Cooks",179445,16000,20540,"Canada","63200",5
