"occupation","employment","median.income","mean.income","geography"
"4120 University professors and post-secondary assistants",174685,38400,62550,"Canada"
"41200 University professors and lecturers",74610,109000,109000,"Canada"
"41201 Post-secondary teaching and research assistants",100070,13600,27920,"Canada"
"4121 College and other vocational instructors",100410,67500,64900,"Canada"
"41210 College and other vocational instructors",100410,67500,64900,"Canada"
"4122 Secondary, elementary and kindergarten school teachers",449230,76000,67700,"Canada"
"41220 Secondary school teachers",153335,82000,72000,"Canada"
"41221 Elementary school and kindergarten teachers",295900,73000,65500,"Canada"
"413 Professional occupations in social and community services",175420,60000,59250,"Canada"
"4130 Social and community service professionals",127980,59200,57650,"Canada"
"41300 Social workers",66005,67500,64500,"Canada"
"41301 Therapists in counselling and related specialized therapies",34175,50000,50920,"Canada"
"41302 Religious leaders",27810,48800,49760,"Canada"
"4131 Police investigators and probation officers",8895,87000,89600,"Canada"
"41310 Police investigators and other investigative occupations",3610,119000,111600,"Canada"
"41311 Probation and parole officers",5280,80000,74600,"Canada"
"4132 Educational and employment counsellors",38550,56800,57550,"Canada"
"41320 Educational counsellors",26965,62400,60600,"Canada"
"41321 Career development practitioners and career counsellors (except education)",11585,49600,50440,"Canada"
"414 Professional occupations in government services",225565,70500,76000,"Canada"
"4140 Policy and program researchers, consultants and officers",225565,70500,76000,"Canada"
"41400 Natural and applied science policy researchers, consultants and program officers",35545,78500,82500,"Canada"
"41401 Economists and economic policy researchers and analysts",22635,89000,107600,"Canada"
"41402 Business development officers and market researchers and analysts",41410,68000,81900,"Canada"
"41403 Social policy researchers, consultants and program officers",42115,68500,68000,"Canada"
"41404 Health policy researchers, consultants and program officers",27115,70000,70900,"Canada"
"41405 Education policy researchers, consultants and program officers",26390,65000,63150,"Canada"
"41406 Recreation, sports and fitness policy researchers, consultants and program officers",10160,48400,50240,"Canada"
"41407 Program officers unique to government",13575,74000,76300,"Canada"
"41409 Other professional occupations in social science",6615,55600,57750,"Canada"
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services",582050,40400,48840,"Canada"
"421 Occupations in front-line public protection services",108275,109000,103100,"Canada"
"4210 Occupations in front-line public protection services",108275,109000,103100,"Canada"
"42100 Police officers (except commissioned)",73090,109000,104000,"Canada"
"42101 Firefighters",33575,109000,102700,"Canada"
"42102 Specialized members of the Canadian Armed Forces",1610,72500,70200,"Canada"
"422 Paraprofessional occupations in legal, social, community and education services",473765,34000,36440,"Canada"
"4220 Paraprofessional occupations in legal, social, community and education services",473765,34000,36440,"Canada"
"42200 Paralegals and related occupations",31205,53600,55650,"Canada"
"42201 Social and community service workers",176975,43600,43560,"Canada"
"42202 Early childhood educators and assistants",224080,25200,27360,"Canada"
"42203 Instructors of persons with disabilities",33340,43600,43320,"Canada"
"42204 Religion workers",8175,22400,30080,"Canada"
"43 Assisting occupations in education and in legal and public protection",223890,37200,44280,"Canada"
"431 Assisting occupations in educational",138035,26400,26840,"Canada"
"4310 Assisting occupations in education",138035,26400,26840,"Canada"
"43100 Elementary and secondary school teacher assistants",104550,30400,29920,"Canada"
"43109 Other instructors",33475,7400,17140,"Canada"
"432 Assisting occupations in legal and public protection",85855,74000,72300,"Canada"
"4320 Assisting occupations in legal and public protection",85855,74000,72300,"Canada"
