"","noc_code","employment","median.income","mean.income","remote_work_manual"
"326","72012",7485,82000,82600,0.25
"327","72013",14550,59200,60950,0.25
"328","72014",42120,47600,54900,0.25
"329","72020",25520,74500,79800,0.25
"330","72021",42270,81000,86000,0.5
"331","72022",2030,56400,57150,0.5
"332","72023",1225,96000,97600,0.25
"333","72024",10425,62400,64800,0.25
"334","72025",8380,59600,56500,0.75
"335","72100",37095,54000,55250,0.25
"336","72101",10045,60000,61550,0
"337","72102",18990,53600,54600,0
"338","72103",3810,62000,68400,0
"339","72104",6555,54800,55900,0
"340","72105",12925,61200,63100,0
"341","72106",87165,49600,53800,0
"342","72200",97680,53200,55900,0.25
"343","72201",21960,89000,91100,0
"344","72202",4975,95000,95400,0
"345","72203",13300,107000,105700,0
"346","72204",9700,59600,59000,0
"347","72205",20485,63200,62650,0
"348","72300",50615,52400,54150,0
"349","72301",20825,67000,68900,0
"350","72302",6620,56400,61500,0
"351","72310",155690,40400,43000,0
"352","72311",15900,34000,34960,0
"353","72320",16300,41200,44680,0
"354","72321",8825,48400,51800,0
"355","72400",65385,74000,77900,0
"356","72401",44340,74000,79300,0
"357","72402",29605,59600,62450,0
"358","72403",2495,84000,81000,0
"359","72404",18495,72500,71300,0
"360","72405",2140,61600,62150,0
"361","72406",5845,102000,101500,0
"362","72410",147535,49200,51900,0
"363","72411",28690,43200,46880,0
"364","72420",1585,47200,50440,0
"365","72421",5480,35200,39840,0
"366","72422",10465,60400,61500,0
"367","72423",6580,47200,48280,0.171447902571042
"368","72429",2580,30800,34040,0
"369","72500",13730,76500,81900,0
"370","72501",580,50400,50600,0
"371","72600",17490,92000,109400,0
"372","72601",4655,107000,122500,0
"373","72602",5925,91000,103900,0
"374","72603",1440,96000,99800,0.25
"375","72604",1355,86000,85700,0
"376","72999",8900,45200,49080,0.25
"377","73100",8785,48400,50360,0
"378","73101",8135,31400,35680,0
"379","73102",26455,35200,38080,0
"380","73110",21680,33200,38120,0
"381","73111",8130,45600,46000,0
"382","73112",38795,21400,27760,0
"383","73113",10475,27800,32720,0
"384","73200",48330,30400,34600,0
"385","73201",98405,38000,40240,0
"386","73202",4060,39200,41600,0
"387","73209",10200,29600,34840,0
"388","73300",350460,42400,45240,0
"389","73301",96240,27800,40240,0
"390","73310",5970,116000,109100,0.25
"391","73311",5655,81000,79400,0.25
"392","73400",93255,60800,65900,0
"393","73401",14300,43600,45160,0
"394","73402",4245,68500,70400,0
"395","74100",23075,40800,42560,0.25
"396","74101",33235,61200,55050,0
"397","74102",32995,33600,38160,0
"398","74200",5665,77500,75300,0
"399","74201",4615,58800,56600,0.25
"400","74202",9315,32800,36560,0.617525595801428
"401","74203",14175,31800,39480,0
"402","74204",5960,60800,63050,0
"403","74205",15465,50400,48640,0
"404","75100",5710,87000,90000,0
"405","75101",218515,36800,42400,0.217145274982796
"406","75110",200790,32400,38680,0
"407","75119",12185,28000,34440,0
"408","75200",53510,7300,13860,0
"409","75201",90360,18600,25960,0
"410","75210",2875,40000,45600,0
"411","75211",4865,34800,39680,0
"412","75212",31655,44000,43160,0
"413","80010",9945,143000,170400,0.75
"414","80020",141855,19200,28440,0.25
"415","80021",3470,34000,44920,0.25
"416","80022",875,58400,59300,0.25
"417","82010",6245,72500,80800,0.25
"418","82020",7980,122000,121300,0
"419","82021",10140,98000,109700,0
"420","82030",2800,44400,46280,0
"421","82031",19400,42000,48080,0.25
"422","83100",13765,106000,101900,0
"423","83101",6875,64500,74000,0
"424","83110",6985,57200,58800,0
"425","83120",1085,55200,72200,0.25
"426","83121",11115,22400,31960,0
"427","84100",4195,80000,80700,0
"428","84101",5620,75500,80900,0
"429","84110",6885,31400,38200,0
"430","84111",7630,26600,33480,0
"431","84120",41810,23600,29000,0
"432","84121",9405,20600,29520,0
"433","85100",26820,18000,24660,0
"434","85101",12450,12500,17520,0
"435","85102",2585,23200,31880,0
"436","85103",16345,16800,21720,0
"437","85104",385,9900,23400,0
"438","85110",2765,47600,59800,0
"439","85111",6830,45200,51550,0
"440","85120",5325,17400,24100,0
"441","85121",109675,15900,22380,0
"442","90010",70875,81000,97400,0.25
"443","90011",11295,125000,143000,0.5
"444","92010",5560,81000,86500,0
"445","92011",12070,98000,111000,0
"446","92012",15370,58000,59300,0
"447","92013",3515,60800,63050,0
"448","92014",5640,76500,76500,0
"449","92015",1105,43600,45000,0
"450","92020",8365,72500,77400,0
"451","92021",2205,57200,61000,0
"452","92022",1615,52800,53450,0
"453","92023",2865,72500,73700,0
"454","92024",3025,57600,61350,0
"455","92100",34540,86000,100200,0.25
"456","92101",13360,69500,68000,0
"457","93100",2430,98000,93700,0
"458","93101",22100,103000,113700,0
"459","93102",745,90000,87800,0
"460","93200",5635,64500,62150,0
"461","94100",8395,80000,79400,0
"462","94101",2420,52000,57500,0
"463","94102",2200,37600,38440,0
"464","94103",3660,43200,47440,0
"465","94104",2270,53600,56700,0
"466","94105",11380,44000,45000,0
"467","94106",8665,46800,48720,0
"468","94107",2815,46000,47560,0
"469","94110",7390,51600,59950,0
"470","94111",13485,40400,43160,0
"471","94112",5215,50800,50000,0
"472","94120",6225,47600,49160,0
"473","94121",5025,82000,81400,0
"474","94122",3565,54800,53700,0
"475","94123",2540,52400,53600,0
"476","94124",6585,35600,37200,0
"477","94129",2145,54800,55550,0
"478","94130",2720,31800,32400,0
"479","94131",2095,29800,31920,0
"480","94132",13495,22400,24220,0
"481","94133",1620,27000,28720,0
"482","94140",48305,45200,47360,0
"483","94141",15860,43600,41600,0
"484","94142",7370,15300,20580,0
"485","94143",7695,37200,40120,0
"486","94150",6815,37600,37440,0
"487","94151",2035,47600,49040,0.5
"488","94152",3590,32800,33960,0
"489","94153",1280,24600,28960,0
"490","94200",68960,43600,46320,0
"491","94201",13050,35200,36560,0
"492","94202",7220,36400,38320,0
"493","94203",2440,44000,46720,0
"494","94204",10445,44400,46040,0
"495","94205",870,40400,43700,0
"496","94210",16770,32400,32400,0
"497","94211",8025,33600,34120,0
"498","94212",4990,36800,36640,0
"499","94213",15050,44800,47560,0
"500","94219",19790,32800,35440,0
"501","95100",9420,42800,47080,0
"502","95101",13225,34800,37240,0
"503","95102",19680,29400,34360,0
"504","95103",17675,38000,41640,0
"505","95104",9035,33600,35720,0
"506","95105",5735,23400,26440,0
"507","95106",82620,30600,31760,0
"508","95107",8710,14900,18640,0
"509","95109",85125,27600,30040,0
