"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","New Brunswick i5",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"2133 Natural resources engineers","80","86,000","92,000"
"21330 Mining engineers","0","0","0"
"21331 Geological engineers","55","95,000","96,000"
"21332 Petroleum engineers","20","0","90,000"
"2139 Other engineers","110","70,500","86,000"
"21390 Aerospace engineers","0","0","0"
"21399 Other professional engineers","100","76,500","88,000"
"22 Technical occupations related to natural and applied sciences","10,945","53,600","55,500"
"221 Technical occupations related to natural sciences","1,855","43,600","47,440"
"2210 Technical occupations in physical sciences","455","59,200","61,200"
"22100 Chemical technologists and technicians","320","58,000","62,400"
"22101 Geological and mineral technologists and technicians","135","59,200","58,000"
"2211 Technical occupations in life sciences","1,395","41,600","42,960"
"22110 Biological technologists and technicians","380","40,800","40,800"
"22111 Agricultural and fish products inspectors","50","65,000","56,000"
"22112 Forestry technologists and technicians","385","60,400","52,600"
"22113 Conservation and fishery officers","210","58,800","50,800"
"22114 Landscape and horticulture technicians and specialists","370","25,600","29,100"
"222 Technical occupations related to applied sciences (except engineering)","5,310","52,800","56,000"
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","880","48,800","47,600"
"22210 Architectural technologists and technicians","110","45,600","45,000"
"22211 Industrial designers","50","46,800","42,000"
"22212 Drafting technologists and technicians","465","46,000","44,600"
"22213 Land survey technologists and technicians","60","46,000","50,000"
"22214 Technical occupations in geomatics and meteorology","195","59,200","56,800"
"2222 Technical occupations in computer and information systems","3,310","50,800","53,900"
"22220 Computer network and web technicians","1,355","60,000","61,650"
"22221 User support technicians","1,760","46,800","47,960"
"22222 Information systems testing technicians","190","48,000","53,600"
"2223 Technical inspectors and regulatory officers","1,120","70,000","68,600"
"22230 Non-destructive testers and inspectors","265","54,400","64,000"
"22231 Engineering inspectors and regulatory officers","205","73,000","81,000"
"22232 Occupational health and safety specialists","340","78,000","71,200"
"22233 Construction inspectors","315","67,500","61,600"
"223 Technical occupations related to engineering","3,785","56,400","58,750"
"2230 Technical occupations in civil, mechanical and industrial engineering","1,730","58,000","61,100"
"22300 Civil engineering technologists and technicians","690","57,600","56,100"
"22301 Mechanical engineering technologists and technicians","440","57,200","66,000"
"22302 Industrial engineering and manufacturing technologists and technicians","200","43,200","54,400"
"22303 Construction estimators","400","67,500","67,600"
"2231 Technical occupations in electronics and electrical engineering","2,055","54,400","56,750"
"22310 Electrical and electronics engineering technologists and technicians","745","59,600","63,600"
"22311 Electronic service technicians (household and business equipment)","1,050","47,600","47,500"
"22312 Industrial instrument technicians and mechanics","215","81,000","69,500"
