"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Quebec i6",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"21399 Other professional engineers","1,215","74,500","76,600"
"22 Technical occupations related to natural and applied sciences","131,200","53,200","55,800"
"221 Technical occupations related to natural sciences","17,900","42,400","46,480"
"2210 Technical occupations in physical sciences","6,235","54,400","59,450"
"22100 Chemical technologists and technicians","4,460","52,000","54,350"
"22101 Geological and mineral technologists and technicians","1,780","64,000","72,200"
"2211 Technical occupations in life sciences","11,660","35,200","39,560"
"22110 Biological technologists and technicians","2,510","43,200","43,000"
"22111 Agricultural and fish products inspectors","715","57,200","57,000"
"22112 Forestry technologists and technicians","2,070","49,200","49,160"
"22113 Conservation and fishery officers","625","55,200","51,000"
"22114 Landscape and horticulture technicians and specialists","5,740","25,400","31,160"
"222 Technical occupations related to applied sciences (except engineering)","65,475","52,400","55,200"
"2221 Technical occupations in architecture, drafting, surveying, geomatics and meteorology","18,590","46,000","48,400"
"22210 Architectural technologists and technicians","3,960","44,400","47,400"
"22211 Industrial designers","3,440","46,800","48,840"
"22212 Drafting technologists and technicians","8,120","44,000","45,840"
"22213 Land survey technologists and technicians","1,450","47,200","50,880"
"22214 Technical occupations in geomatics and meteorology","1,620","57,600","60,550"
"2222 Technical occupations in computer and information systems","37,615","54,000","56,100"
"22220 Computer network and web technicians","19,960","59,600","62,100"
"22221 User support technicians","14,015","49,200","51,900"
"22222 Information systems testing technicians","3,635","32,400","39,400"
"2223 Technical inspectors and regulatory officers","9,270","62,800","65,300"
"22230 Non-destructive testers and inspectors","620","68,500","68,400"
"22231 Engineering inspectors and regulatory officers","1,850","73,000","73,800"
"22232 Occupational health and safety specialists","3,860","66,000","68,900"
"22233 Construction inspectors","2,950","54,000","54,700"
"223 Technical occupations related to engineering","47,830","58,000","60,150"
"2230 Technical occupations in civil, mechanical and industrial engineering","25,420","56,800","58,700"
"22300 Civil engineering technologists and technicians","7,235","55,600","56,750"
"22301 Mechanical engineering technologists and technicians","7,905","63,200","64,000"
"22302 Industrial engineering and manufacturing technologists and technicians","4,140","54,400","56,200"
"22303 Construction estimators","6,145","52,400","56,000"
"2231 Technical occupations in electronics and electrical engineering","22,410","59,600","61,750"
"22310 Electrical and electronics engineering technologists and technicians","12,685","65,000","66,000"
"22311 Electronic service technicians (household and business equipment)","6,210","41,600","43,720"
"22312 Industrial instrument technicians and mechanics","1,840","82,000","80,900"
"22313 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","1,680","75,500","75,000"
"3 Health occupations","354,355","49,200","61,550"
"30 Specialized middle management occupations in health care","7,975","104,000","108,600"
"300 Specialized middle management occupations in health care","7,975","104,000","108,600"
"3001 Managers in health care","7,975","104,000","108,600"
"30010 Managers in health care","7,975","104,000","108,600"
"31 Professional occupations in health","148,150","77,000","89,000"
"311 Health treating and consultation services professionals","47,055","100,000","133,600"
"3110 Physicians and veterinarians","25,850","141,000","168,800"
"31100 Specialists in clinical and laboratory medicine","6,635","170,000","199,200"
"31101 Specialists in surgery","1,835","188,000","228,400"
"31102 General practitioners and family physicians","14,885","143,000","161,600"
"31103 Veterinarians","2,485","80,000","86,800"
"3111 Dentists, optometrists and audiologists","9,160","74,000","85,700"
"31110 Dentists","4,210","92,000","104,500"
"31111 Optometrists","1,550","89,000","93,900"
"31112 Audiologists and speech-language pathologists","3,395","64,000","58,500"
"3112 Pharmacists and dietitians","12,040","93,000","94,900"
"31120 Pharmacists","9,410","106,000","105,900"
"31121 Dietitians and nutritionists","2,630","58,400","55,500"
"312 Therapy and assessment professionals","25,040","58,800","58,600"
"3120 Therapy and assessment professionals","25,040","58,800","58,600"
"31200 Psychologists","7,455","70,500","68,200"
"31201 Chiropractors","1,235","48,400","61,000"
"31202 Physiotherapists","5,680","63,600","61,450"
"31203 Occupational therapists","5,350","72,000","66,400"
"31204 Kinesiologists and other professional occupations in therapy and assessment","2,335","26,400","31,760"
"31209 Other professional occupations in health diagnosing and treating","2,985","27,000","35,320"
"313 Nursing and allied health professionals","76,055","74,500","71,400"
"3130 Nursing and allied health professionals","76,055","74,500","71,400"
"31300 Nursing coordinators and supervisors","4,030","94,000","90,600"
"31301 Registered nurses and registered psychiatric nurses","70,830","73,500","70,300"
"31302 Nurse practitioners","720","92,000","82,800"
"31303 Physician assistants, midwives and allied health professionals","485","72,000","68,000"
"32 Technical occupations in health","82,485","44,400","45,080"
"321 Technical occupations in health (except practitioners of natural healing)","72,860","48,400","48,760"
"3210 Technical occupations in therapy and assessment","41,490","53,600","53,100"
"32100 Opticians","2,225","42,000","43,640"
"32101 Licensed practical nurses","20,845","54,800","52,900"
"32102 Paramedical occupations","5,445","69,500","66,900"
"32103 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","4,405","73,500","70,100"
"32104 Animal health technologists and veterinary technicians","4,340","32,400","32,760"
"32109 Other technical occupations in therapy and assessment","4,220","43,200","44,680"
"3211 Technical occupations in dental health care","8,230","40,400","41,240"
"32110 Denturists","945","34,400","49,300"
"32111 Dental hygienists and dental therapists","6,385","41,200","39,960"
"32112 Dental technologists and technicians","900","35,600","41,800"
"3212 Medical technologists and technicians","23,145","43,200","43,600"
"32120 Medical laboratory technologists","4,705","59,200","55,400"
"32121 Medical radiation technologists","5,130","58,000","56,400"
"32122 Medical sonographers","570","62,400","60,600"
"32123 Cardiology technologists and electrophysiological diagnostic technologists","635","54,400","52,200"
"32124 Pharmacy technicians","9,910","27,600","29,760"
"32129 Other medical technologists and technicians","2,195","46,400","43,840"
"322 Practitioners of natural healing","9,625","12,300","17,300"
"3220 Practitioners of natural healing","9,625","12,300","17,300"
"32200 Traditional Chinese medicine practitioners and acupuncturists","860","26,200","29,700"
"32201 Massage therapists","8,040","11,800","15,920"
"32209 Other practitioners of natural healing","725","9,100","18,040"
"33 Assisting occupations in support of health services","115,750","33,200","34,880"
"331 Assisting occupations in support of health services","115,750","33,200","34,880"
"3310 Assisting occupations in support of health services","115,750","33,200","34,880"
"33100 Dental assistants and dental laboratory assistants","7,485","26,200","26,520"
"33101 Medical laboratory assistants and related technical occupations","4,000","47,600","46,480"
"33102 Nurse aides, orderlies and patient service associates","88,875","34,000","35,280"
"33103 Pharmacy technical assistants and pharmacy assistants","7,695","33,200","32,400"
"33109 Other assisting occupations in support of health services","7,695","31,200","34,840"
"4 Occupations in education, law and social, community and government services","555,455","49,200","56,450"
"40 Managers in public administration, in education and social and community services and in public protection services","27,500","89,000","87,100"
"400 Managers in public administration, in education and social and community services and in public protection services","27,500","89,000","87,100"
"4001 Managers in public administration","6,155","101,000","100,900"
"40010 Government managers - health and social policy development and program administration","1,615","100,000","102,300"
"40011 Government managers - economic analysis, policy development and program administration","2,710","103,000","104,100"
"40012 Government managers - education policy development and program administration","375","98,000","89,600"
"40019 Other managers in public administration","1,445","96,000","96,300"
"4002 Managers in education","8,820","99,000","98,500"
"40020 Administrators - post-secondary education and vocational training","3,470","96,000","98,200"
"40021 School principals and administrators of elementary and secondary education","5,355","100,000","98,700"
"4003 Managers in social, community and correctional services","7,940","58,000","64,600"
"40030 Managers in social, community and correctional services","7,940","58,000","64,600"
"4004 Managers in public protection services","4,585","88,000","85,700"
"40040 Commissioned police officers and related occupations in public protection services","1,025","128,000","121,400"
"40041 Fire chiefs and senior firefighting officers","560","93,000","98,800"
"40042 Commissioned officers of the Canadian Armed Forces","3,000","72,000","71,100"
"41 Professional occupations in law, education, social, community and government services","287,690","65,500","67,100"
"411 Professional occupations in law","23,860","88,000","119,100"
"4110 Judges, lawyers and Quebec notaries","23,860","88,000","119,100"
"41100 Judges","1,110","204,000","246,800"
"41101 Lawyers and Quebec notaries","22,750","84,000","112,900"
"412 Professional occupations in education services","178,735","65,500","61,450"
"4120 University professors and post-secondary assistants","40,115","43,600","62,350"
"41200 University professors and lecturers","17,150","107,000","102,100"
"41201 Post-secondary teaching and research assistants","22,970","16,400","32,640"
"4121 College and other vocational instructors","36,530","69,500","62,850"
"41210 College and other vocational instructors","36,530","69,500","62,850"
"4122 Secondary, elementary and kindergarten school teachers","102,090","68,000","60,600"
"41220 Secondary school teachers","42,740","73,500","64,600"
"41221 Elementary school and kindergarten teachers","59,350","64,500","57,700"
"413 Professional occupations in social and community services","37,075","58,800","57,500"
"4130 Social and community service professionals","25,805","59,200","57,100"
"41300 Social workers","16,350","63,200","59,800"
"41301 Therapists in counselling and related specialized therapies","7,530","56,800","55,600"
"41302 Religious leaders","1,920","38,000","40,040"
"4131 Police investigators and probation officers","1,455","84,000","80,800"
"41310 Police investigators and other investigative occupations","520","106,000","101,600"
"41311 Probation and parole officers","935","75,500","69,200"
"4132 Educational and employment counsellors","9,825","55,200","55,050"
"41320 Educational counsellors","6,825","60,000","58,300"
"41321 Career development practitioners and career counsellors (except education)","3,000","47,600","47,600"
"414 Professional occupations in government services","48,015","67,000","70,000"
"4140 Policy and program researchers, consultants and officers","48,015","67,000","70,000"
"41400 Natural and applied science policy researchers, consultants and program officers","8,020","69,500","77,100"
"41401 Economists and economic policy researchers and analysts","4,140","81,000","90,600"
"41402 Business development officers and market researchers and analysts","7,100","58,000","65,700"
"41403 Social policy researchers, consultants and program officers","9,885","66,000","66,100"
"41404 Health policy researchers, consultants and program officers","4,230","70,500","70,100"
"41405 Education policy researchers, consultants and program officers","6,910","74,000","66,600"
"41406 Recreation, sports and fitness policy researchers, consultants and program officers","2,415","44,000","48,760"
"41407 Program officers unique to government","3,935","69,500","75,500"
"41409 Other professional occupations in social science","1,375","54,800","54,950"
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","180,065","36,400","41,920"
"421 Occupations in front-line public protection services","23,395","98,000","92,000"
"4210 Occupations in front-line public protection services","23,395","98,000","92,000"
"42100 Police officers (except commissioned)","16,490","101,000","94,300"
"42101 Firefighters","6,610","92,000","87,600"
"42102 Specialized members of the Canadian Armed Forces","295","71,000","67,000"
"422 Paraprofessional occupations in legal, social, community and education services","156,665","32,400","34,440"
"4220 Paraprofessional occupations in legal, social, community and education services","156,665","32,400","34,440"
"42200 Paralegals and related occupations","5,535","45,600","47,360"
"42201 Social and community service workers","32,430","37,200","39,520"
"42202 Early childhood educators and assistants","90,860","27,400","29,200"
"42203 Instructors of persons with disabilities","25,775","45,200","44,160"
"42204 Religion workers","2,065","19,600","28,440"
"43 Assisting occupations in education and in legal and public protection","28,705","48,000","48,760"
"431 Assisting occupations in educational","12,300","20,000","23,500"
"4310 Assisting occupations in education","12,300","20,000","23,500"
"43100 Elementary and secondary school teacher assistants","7,180","27,600","28,680"
"43109 Other instructors","5,120","8,000","16,220"
"432 Assisting occupations in legal and public protection","16,405","68,500","67,700"
"4320 Assisting occupations in legal and public protection","16,405","68,500","67,700"
"43200 Sheriffs and bailiffs","785","50,800","49,400"
"43201 Correctional service officers","4,745","75,500","76,800"
"43202 By-law enforcement and other regulatory officers","2,110","54,800","53,700"
"43203 Border services, customs, and immigration officers","2,215","76,500","70,100"
"43204 Operations members of the Canadian Armed Forces","6,550","68,500","67,000"
"44 Care providers and legal and public protection support occupations","20,245","21,600","26,600"
"441 Home care provider occupations","17,670","19,200","23,580"
"4410 Home care provider occupations","17,670","19,200","23,580"
"44100 Home child care providers","5,415","11,800","16,140"
"44101 Home support workers, caregivers and related occupations","12,250","23,600","26,840"
"442 Primary combat members of the Canadian Armed Forces","2,575","49,200","47,440"
"4420 Primary combat members of the Canadian Armed Forces","2,575","49,200","47,440"
"44200 Primary combat members of the Canadian Armed Forces","2,575","49,200","47,440"
"45 Student monitors, crossing guards and related occupations","11,255","9,700","14,220"
"451 Student monitors, crossing guards and related occupations","11,255","9,700","14,220"
"4510 Student monitors, crossing guards and related occupations","11,255","9,700","14,220"
"45100 Student monitors, crossing guards and related occupations","11,255","9,700","14,220"
"5 Occupations in art, culture, recreation and sport","151,890","28,800","39,360"
"50 Specialized middle management occupations in art, culture, recreation and sport","4,770","59,200","68,300"
"500 Specialized middle management occupations in art, culture, recreation and sport","4,770","59,200","68,300"
"5001 Managers in art, culture, recreation and sport","4,770","59,200","68,300"
"50010 Library, archive, museum and art gallery managers","980","66,500","71,000"
"50011 Managers - publishing, motion pictures, broadcasting and performing arts","1,545","62,000","75,600"
"50012 Recreation, sports and fitness program and service directors","2,245","55,200","62,100"
"51 Professional occupations in art and culture","41,310","40,800","47,040"
"511 Professional occupations in art and culture","41,310","40,800","47,040"
"5110 Librarians, archivists, conservators and curators","2,755","65,000","62,750"
"51100 Librarians","1,675","71,500","68,500"
"51101 Conservators and curators","370","58,400","56,800"
"51102 Archivists","715","53,200","52,500"
"5111 Writing, translating and related communications professionals","21,800","43,600","46,680"
"51110 Editors","3,810","46,800","48,040"
"51111 Authors and writers (except technical)","4,485","23,600","34,560"
"51112 Technical writers","1,555","65,500","63,100"
"51113 Journalists","3,320","54,000","56,450"
"51114 Translators, terminologists and interpreters","8,630","43,200","45,680"
"5112 Creative and performing artists","16,755","29,000","44,880"
"51120 Producers, directors, choreographers and related occupations","9,910","54,400","62,750"
"51121 Conductors, composers and arrangers","830","13,400","25,750"
"51122 Musicians and singers","6,020","8,500","18,060"
"52 Technical occupations in art, culture and sport","54,735","41,200","47,760"
"521 Technical occupations in art and culture","54,735","41,200","47,760"
"5210 Technical occupations in libraries and public archives","2,625","50,000","46,400"
"52100 Library and public archive technicians","2,625","50,000","46,400"
"5211 Technical occupations in motion pictures, broadcasting and the performing arts","27,355","44,800","51,160"
"52110 Film and video camera operators","980","41,600","44,200"
"52111 Graphic arts technicians","5,960","46,000","55,250"
"52112 Broadcast technicians","180","67,000","60,000"
"52113 Audio and video recording technicians","14,175","43,600","46,600"
"52114 Announcers and other broadcasters","1,165","46,000","64,200"
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","4,895","47,200","57,300"
"5212 Graphic and interior designers","24,755","36,800","44,160"
"52120 Graphic designers and illustrators","18,480","39,600","47,280"
"52121 Interior designers and interior decorators","6,280","29,800","34,960"
"53 Occupations in art, culture and sport","26,915","15,800","28,640"
"531 Occupations in art and culture","22,005","15,700","26,960"
"5310 Occupations related to museums and art galleries","1,500","13,800","23,300"
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries","1,500","13,800","23,300"
"5311 Photographers and support occupations in arts and culture","4,610","18,400","26,120"
"53110 Photographers","2,890","13,800","22,120"
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators","1,715","29,200","32,840"
"5312 Occupations in creative and performing art","15,900","15,000","27,560"
"53120 Dancers","1,580","6,500","13,420"
"53121 Actors, comedians and circus performers","3,080","11,500","28,200"
