"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","British Columbia i11",,
"Statistics (3)","Count",,
"Visible minority (15) 2","Total - Visible minority 6 7",,
"Highest certificate, diploma or degree (7) 3","Total - Highest certificate, diploma or degree 8",,
"Work activity during the reference year (4) 4","Total - Work activity during the reference year 9",,
"Gender and age (7) 5","Total - Gender / Total - Age",,
"Employment income statistics (3)","Total - Number of employment income recipients 11","Median employment income ($) 12","Average employment income ($) 13"
"Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10"
"421 Occupations in front-line public protection services","15,380","105,000","100,800"
"4210 Occupations in front-line public protection services","15,380","105,000","100,800"
"42100 Police officers (except commissioned)","10,320","103,000","101,900"
"42101 Firefighters","4,820","107,000","99,500"
"42102 Specialized members of the Canadian Armed Forces","235","84,000","77,500"
"422 Paraprofessional occupations in legal, social, community and education services","58,100","34,400","36,720"
"4220 Paraprofessional occupations in legal, social, community and education services","58,100","34,400","36,720"
"42200 Paralegals and related occupations","4,845","62,000","63,550"
"42201 Social and community service workers","29,235","42,400","41,160"
"42202 Early childhood educators and assistants","21,155","22,600","25,600"
"42203 Instructors of persons with disabilities","1,735","18,200","28,000"
"42204 Religion workers","1,140","23,400","28,550"
"43 Assisting occupations in education and in legal and public protection","36,875","33,200","39,440"
"431 Assisting occupations in educational","26,675","27,800","26,760"
"4310 Assisting occupations in education","26,675","27,800","26,760"
"43100 Elementary and secondary school teacher assistants","19,695","30,800","29,680"
"43109 Other instructors","6,980","8,800","18,480"
"432 Assisting occupations in legal and public protection","10,195","73,500","72,600"
"4320 Assisting occupations in legal and public protection","10,195","73,500","72,600"
"43200 Sheriffs and bailiffs","685","67,500","66,400"
"43201 Correctional service officers","3,460","75,000","74,000"
"43202 By-law enforcement and other regulatory officers","1,680","61,600","59,250"
"43203 Border services, customs, and immigration officers","1,470","86,000","77,800"
"43204 Operations members of the Canadian Armed Forces","2,895","77,500","77,600"
"44 Care providers and legal and public protection support occupations","14,175","19,600","25,880"
"441 Home care provider occupations","13,770","19,000","25,320"
"4410 Home care provider occupations","13,770","19,000","25,320"
"44100 Home child care providers","7,070","12,500","18,500"
"44101 Home support workers, caregivers and related occupations","6,705","29,400","32,520"
"442 Primary combat members of the Canadian Armed Forces","400","32,800","44,200"
"4420 Primary combat members of the Canadian Armed Forces","400","32,800","44,200"
"44200 Primary combat members of the Canadian Armed Forces","400","32,800","44,200"
"45 Student monitors, crossing guards and related occupations","1,805","4,840","9,200"
"451 Student monitors, crossing guards and related occupations","1,805","4,840","9,200"
"4510 Student monitors, crossing guards and related occupations","1,805","4,840","9,200"
"45100 Student monitors, crossing guards and related occupations","1,805","4,840","9,200"
"5 Occupations in art, culture, recreation and sport","103,300","25,200","39,760"
"50 Specialized middle management occupations in art, culture, recreation and sport","4,390","54,000","61,900"
"500 Specialized middle management occupations in art, culture, recreation and sport","4,390","54,000","61,900"
"5001 Managers in art, culture, recreation and sport","4,390","54,000","61,900"
"50010 Library, archive, museum and art gallery managers","770","55,200","58,600"
"50011 Managers - publishing, motion pictures, broadcasting and performing arts","1,490","57,200","67,600"
"50012 Recreation, sports and fitness program and service directors","2,135","51,600","59,100"
"51 Professional occupations in art and culture","22,785","25,800","40,840"
"511 Professional occupations in art and culture","22,785","25,800","40,840"
"5110 Librarians, archivists, conservators and curators","1,770","61,200","58,700"
"51100 Librarians","1,270","66,000","63,800"
"51101 Conservators and curators","360","43,200","46,600"
"51102 Archivists","135","40,000","42,000"
"5111 Writing, translating and related communications professionals","9,345","25,200","36,840"
"51110 Editors","1,880","24,800","32,840"
"51111 Authors and writers (except technical)","3,655","12,200","29,840"
"51112 Technical writers","1,130","65,500","64,200"
"51113 Journalists","1,110","47,200","51,700"
"51114 Translators, terminologists and interpreters","1,570","20,000","27,960"
"5112 Creative and performing artists","11,675","20,800","41,360"
"51120 Producers, directors, choreographers and related occupations","5,745","53,600","64,900"
"51121 Conductors, composers and arrangers","515","9,800","27,600"
"51122 Musicians and singers","5,415","8,300","17,620"
"52 Technical occupations in art, culture and sport","33,665","46,800","54,250"
"521 Technical occupations in art and culture","33,665","46,800","54,250"
"5210 Technical occupations in libraries and public archives","1,045","45,200","42,900"
"52100 Library and public archive technicians","1,045","45,200","42,900"
"5211 Technical occupations in motion pictures, broadcasting and the performing arts","13,675","54,800","61,500"
"52110 Film and video camera operators","1,045","25,000","37,400"
"52111 Graphic arts technicians","2,910","75,500","82,300"
"52112 Broadcast technicians","195","55,200","52,800"
"52113 Audio and video recording technicians","2,655","31,800","42,760"
"52114 Announcers and other broadcasters","560","45,200","50,400"
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","6,305","59,200","65,100"
"5212 Graphic and interior designers","18,945","42,800","49,640"
"52120 Graphic designers and illustrators","14,585","44,800","51,800"
"52121 Interior designers and interior decorators","4,365","36,400","42,520"
"53 Occupations in art, culture and sport","25,695","15,000","30,280"
"531 Occupations in art and culture","22,245","14,700","27,680"
"5310 Occupations related to museums and art galleries","805","18,400","23,120"
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries","805","18,400","23,120"
"5311 Photographers and support occupations in arts and culture","7,790","26,800","35,000"
"53110 Photographers","3,050","12,700","24,840"
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators","4,740","38,400","41,560"
"5312 Occupations in creative and performing art","13,655","9,400","23,780"
"53120 Dancers","1,430","9,100","14,440"
"53121 Actors, comedians and circus performers","4,025","7,950","20,720"
"53122 Painters, sculptors and other visual artists","3,060","5,680","16,780"
